cod_ine,id_candidato,dist_m
4625001001.0,J1_0074,516.36
4625001001.0,J2E_0093,516.45
4625001001.0,J2E_0624,521.6
4625001001.0,J2E_0207,525.12
4625001001.0,J2E_0625,525.12
4625001001.0,J2E_0219,532.8
4625001001.0,J2E_0544,534.63
4625001001.0,J2E_0104,535.71
4625001001.0,J2E_0548,536.38
4625001001.0,J2E_0137,546.27
4625001001.0,J2E_0376,548.56
4625001001.0,J2E_0049,557.29
4625001001.0,J2E_0182,560.77
4625001001.0,J2E_0206,563.83
4625001001.0,J2E_0183,566.96
4625001001.0,J2E_0156,570.31
4625001001.0,J2E_0558,574.56
4625001001.0,J2E_0047,576.81
4625001001.0,J2E_0623,577.09
4625001001.0,J2E_0332,586.07
4625001001.0,J2E_0569,586.58
4625001001.0,J1_0004,587.54
4625001001.0,J2E_0334,587.54
4625001001.0,J1_0045,599.89
4625001001.0,J1_0056,599.89
4625001001.0,J2E_0050,599.89
4625001001.0,J2E_0547,600.45
4625001001.0,J2E_0212,607.32
4625001001.0,J2E_0621,607.32
4625001001.0,J2E_0518,613.21
4625001001.0,J2E_0343,616.87
4625001001.0,J2E_0001,620.16
4625001001.0,J2E_0523,629.08
4625001001.0,J2E_0163,629.35
4625001001.0,J1_0118,631.81
4625001001.0,J2E_0105,632.78
4625001001.0,J2E_0541,638.15
4625001001.0,J2V_0230,650.62
4625001001.0,J2E_0551,650.97
4625001001.0,J2E_0341,651.36
4625001001.0,J2V_0215,651.36
4625001001.0,J2E_0220,656.27
4625001001.0,J2E_0539,657.7
4625001001.0,J2E_0042,658.08
4625001001.0,J2E_0340,658.15
4625001001.0,J2E_0367,665.23
4625001001.0,J2E_0108,674.28
4625001001.0,J1_0012,675.4
4625001001.0,J2E_0004,680.09
4625001001.0,J2V_0235,683.89
4625001001.0,J2E_0538,684.9
4625001001.0,J2E_0041,687.2
4625001001.0,J1_0044,691.52
4625001001.0,J2E_0542,703.54
4625001001.0,J2E_0229,717.59
4625001001.0,J1_0028,721.44
4625001001.0,J2E_0172,721.44
4625001001.0,J2E_0133,733.9
4625001001.0,J2E_0092,749.38
4625001001.0,J2E_0091,753.78
4625001001.0,J1_0009,753.93
4625001001.0,J2E_0315,753.93
4625001001.0,J2E_0540,753.93
4625001001.0,J2E_0107,760.71
4625001001.0,J2E_0559,761.43
4625001001.0,J2E_0054,761.45
4625001001.0,J2E_0232,770.06
4625001001.0,J2E_0319,776.3
4625001001.0,J1_0084,778.95
4625001001.0,J2E_0209,782.68
4625001001.0,J2E_0724,782.92
4625001001.0,J2E_0546,784.29
4625001001.0,J2E_0204,785.38
4625001001.0,J1_0052,786.91
4625001001.0,J2E_0338,803.81
4625001001.0,J2E_0572,807.15
4625001001.0,J2E_0571,817.29
4625001001.0,J2E_0112,822.65
4625001001.0,J2E_0780,824.3
4625001001.0,J2E_0306,835.5
4625001001.0,J1_0020,838.25
4625001001.0,J2E_0562,838.25
4625001001.0,J2E_0364,839.49
4625001001.0,J2E_0529,846.47
4625001001.0,J2E_0002,850.48
4625001001.0,J2E_0222,865.02
4625001001.0,J2E_0173,873.37
4625001001.0,J2E_0355,877.57
4625001001.0,J2E_0179,902.26
4625001001.0,J2E_0051,912.59
4625001001.0,J1_0046,936.54
4625001001.0,J2E_0324,936.54
4625001001.0,J2E_0620,937.36
4625001001.0,J2E_0227,940.21
4625001001.0,J2E_0088,941.77
4625001001.0,J2E_0549,944.99
4625001001.0,J1_0091,953.35
4625001001.0,J2E_0089,960.71
4625001001.0,J2V_0210,961.78
4625001001.0,J2E_0447,965.12
4625001001.0,J1_0059,965.67
4625001001.0,J2E_0224,981.47
4625001001.0,J2V_0213,982.68
4625001001.0,J1_0068,985.73
4625001001.0,J2E_0208,985.73
4625001001.0,J2E_0528,990.77
4625001001.0,J1_0067,992.1
4625001001.0,J2E_0362,992.1
4625001001.0,J2E_0527,999.79
4625001001.0,J2E_0307,999.95
4625001001.0,J2V_0261,1001.26
4625001001.0,J1_0024,1013.04
4625001001.0,J2E_0337,1013.22
4625001001.0,J1_0108,1013.94
4625001001.0,J2V_0283,1016.43
4625001001.0,J1_0143,1020.25
4625001001.0,J2E_0333,1020.25
4625001001.0,J2E_0622,1035.48
4625001001.0,J2E_0643,1064.71
4625001001.0,J2E_0190,1071.74
4625001001.0,J2V_0194,1075.94
4625001001.0,J2E_0617,1085.24
4625001001.0,J2E_0313,1090.13
4625001001.0,J2E_0264,1102.79
4625001001.0,J2E_0568,1104.04
4625001001.0,J1_0053,1123.98
4625001001.0,J1_0101,1128.58
4625001001.0,J1_0140,1128.58
4625001001.0,J2E_0346,1134.12
4625001001.0,J1_0011,1135.39
4625001001.0,J2E_0053,1136.18
4625001001.0,J2V_0231,1141.62
4625001001.0,J2E_0456,1150.28
4625001001.0,J2E_0361,1151.53
4625001001.0,J1_0013,1167.99
4625001001.0,J2E_0280,1174.52
4625001001.0,J2E_0725,1177.68
4625001001.0,J2E_0345,1178.05
4625001001.0,J2E_0223,1182.89
4625001001.0,J2V_0311,1210.26
4625001001.0,J2E_0342,1215.35
4625001001.0,J2E_0475,1233.79
4625001001.0,J2V_0272,1233.79
4625001001.0,J2V_0205,1250.28
4625001001.0,J2E_0199,1251.89
4625001001.0,J2E_0162,1252.41
4625001001.0,J2E_0465,1261.61
4625001001.0,J2E_0228,1270.2
4625001001.0,J2E_0461,1298.46
4625001001.0,J2E_0466,1309.29
4625001001.0,J2V_0321,1309.29
4625001001.0,J2E_0457,1313.73
4625001001.0,J2E_0278,1315.36
4625001001.0,J2E_0458,1316.59
4625001001.0,J2E_0460,1319.45
4625001001.0,J2E_0616,1327.07
4625001001.0,J2V_0188,1347.3
